time,gForce
37811,1.06
37838,1.06
37865,1.08
37892,1.08
37919,1.03
37946,1.28
37973,0.96
38000,0.96
38027,1.01
38054,1.06
38081,1.08
38108,1.06
38135,1.06
38162,1.03
38189,1.03
38219,1.04
38246,0.76
38273,1.23
38300,1.00
38327,1.06
38354,1.17
38381,1.23
38408,1.26
38435,1.39
38462,1.36
38489,1.24
38516,1.38
38543,1.46
38592,1.39
38619,1.37
38646,1.34
38673,1.27
38700,1.25
38727,1.29
38754,1.16
38781,1.10
38808,0.99
38835,0.87
38862,0.81
38889,0.77
38916,0.87
38943,0.89
38970,0.84
38997,0.82
39024,0.71
39051,0.69
39078,0.76
39105,0.82
39132,0.88
39159,0.94
39186,1.05
39213,1.09
39240,1.02
39267,0.98
39294,0.99
39321,1.02
39348,1.11
39375,1.02
39405,0.98
39432,0.95
39459,0.98
39486,1.01
39513,1.02
39540,0.98
39567,1.02
39594,0.94
39621,1.00
39648,1.09
39675,1.10
39702,1.02
39729,0.99
39756,1.02
39783,1.10
39810,1.05
39837,1.03
39864,1.04
39891,1.08
39918,1.08
39945,1.13
39972,1.06
39999,1.08
40026,1.08
40053,1.05
40080,1.01
40107,0.79
40134,0.24
40161,0.26
40188,0.15
40215,0.12
40242,0.11
40291,0.11
40318,0.17
40345,0.19
40372,0.20
40399,0.33
40426,0.44
40453,22.85
40480,3.26
40507,7.33
40534,5.36
40561,0.80
40591,0.96
40618,1.26
40645,1.04
40672,0.98
40699,1.09
40726,1.09
40753,1.02
40780,1.05
40807,1.08
40834,1.04
40861,1.06
40888,1.07
40915,1.06
40942,1.05
40969,1.07
40996,1.05
41023,1.05
41050,1.05
41077,1.05
41104,1.06
41131,1.05
41158,1.05
41185,1.06
41212,1.06
41239,1.06
41266,1.06
41293,1.05
41320,1.05
41347,1.05
41374,1.05
41401,1.05
41428,1.06
41455,1.05
41482,1.06
41509,1.04
41536,1.05
41563,1.06
41590,1.06
41617,1.05
41644,1.06
41671,1.06
41698,1.05
41728,1.06
41755,1.06
41782,1.05
41809,1.06
41836,1.05
41863,1.04
41890,1.03
41917,1.06
41966,1.05
41993,1.04
42020,1.07
42047,1.05
42074,1.06
42101,1.06
42128,1.06
42155,1.06
42182,1.05
42209,1.06
42236,1.07
42263,1.05
42290,1.05
42317,1.05
42344,1.04
42371,1.03
42398,1.03
42425,1.05
42452,1.03
42479,1.05
42506,1.24
42533,1.04
42560,1.01
42587,1.03
42614,1.03
42641,1.02
42668,1.12
42695,1.07
42722,1.02
42749,1.06
42776,1.06
42803,1.04
42830,1.06
42857,1.06
42884,1.05
42914,1.07
42941,1.06
42968,1.05
42995,1.06
43022,1.06
43049,1.05
43076,1.05
43103,1.06
43130,1.06
43157,1.06
43184,1.04
43211,1.04
43238,1.06
43265,1.07
43292,1.02
43319,1.04
43346,1.07
43373,1.05
43400,0.97
43427,1.02
43454,1.09
43481,1.03
43508,1.10
43535,1.04
43562,1.07
43589,1.07
43616,1.07
43664,1.05
43691,1.07
43718,1.07
43745,1.08
43772,1.09
43799,1.07
43826,1.06
43853,1.04
43880,1.07
43907,1.06
43934,1.06
43961,1.06
43988,1.06
44015,1.05
44042,1.09
44069,1.30
44099,1.04
44126,1.05
44153,1.06
44180,1.07
44207,1.04
44234,1.06
44261,1.07
44288,1.06
44315,1.06
44342,1.08
44369,1.05
44396,1.07
