time,gForce,event
14830,1.24,stat
14849,1.24,stat
14868,1.25,stat
14887,1.22,stat
14906,1.25,stat
14925,1.19,stat
14944,1.17,stat
14963,1.16,stat
14982,1.18,stat
15001,1.16,stat
15020,1.13,stat
15039,0.99,fall
15058,0.68,fall
15080,0.80,fall
15099,1.85,fall
15118,1.85,fall
15137,0.38,fall
15156,2.57,impt
15175,3.09,impt
15194,2.89,impt
15213,2.26,impt
15253,1.17,stat
15272,1.13,stat
15291,1.01,stat
15310,0.95,fall
15329,0.89,fall
15348,0.91,fall
15367,1.03,stat
15386,1.04,stat
15405,0.98,fall
15424,1.06,stat
15443,1.17,stat
15462,1.17,stat
15481,1.14,stat
15500,1.11,stat
15519,1.13,stat
15538,1.11,stat
15557,1.01,stat
15576,1.04,stat
15595,1.00,stat
15614,1.06,stat
15633,1.15,stat
15652,1.05,stat
15674,1.09,stat
15693,1.07,stat
15712,1.07,stat
15731,1.04,stat
15750,1.00,stat
15769,1.00,fall
15788,1.12,stat
15807,1.22,stat
15826,1.16,stat
15845,1.05,stat
15864,1.17,stat
15883,1.25,stat
15902,1.20,stat
15921,1.33,stat
15940,1.39,stat
15959,1.34,stat
15978,1.35,stat
15997,1.27,stat
16016,1.25,stat
16035,1.29,stat
16054,1.37,stat
16073,1.43,stat
16092,1.51,stat
16111,1.12,stat
16130,0.70,fall
16149,2.67,impt
16168,2.81,impt
16187,0.40,fall
16206,2.93,impt
16225,2.84,impt
16247,2.49,impt
16266,2.15,impt
16285,1.53,impt
16304,1.22,stat
16323,0.91,fall
16342,0.97,fall
16361,1.11,stat
16380,1.06,stat
16399,1.05,stat
16418,1.03,stat
16458,1.05,stat
16477,1.11,stat
16496,1.18,stat
16515,1.14,stat
16534,1.20,stat
16553,1.11,stat
16572,1.03,stat
16591,1.02,stat
16610,1.08,stat
16629,1.10,stat
16648,1.06,stat
16667,1.03,stat
16686,1.15,stat
16705,1.24,stat
16724,1.26,stat
16743,1.21,stat
16762,1.20,stat
16781,1.25,stat
16800,1.26,stat
16819,1.23,stat
16841,1.29,stat
16860,1.30,stat
16879,1.30,stat
16898,1.30,stat
16917,1.23,stat
16936,1.25,stat
16955,1.27,stat
16974,1.28,stat
16993,1.12,stat
17012,0.82,fall
17031,1.82,fall
17050,2.57,impt
17069,0.36,fall
17088,2.51,impt
17107,2.89,impt
17126,2.22,impt
17145,1.72,impt
17164,1.49,stat
17183,1.15,stat
17202,0.91,fall
17221,1.17,stat
17240,1.18,stat
17259,1.06,stat
17278,1.04,stat
17297,1.16,stat
17316,1.12,stat
17335,1.15,stat
17354,1.19,stat
17373,1.22,stat
17392,1.24,stat
17414,1.03,stat
17433,1.03,stat
17452,1.11,stat
17471,1.09,stat
17490,1.10,stat
17509,1.02,stat
17528,1.03,stat
17547,1.09,stat
17566,1.03,stat
17585,1.03,stat
17604,1.13,stat
17645,1.05,stat
17664,1.01,stat
17683,1.02,stat
17702,1.08,stat
17721,1.07,stat
17740,1.00,fall
17759,1.03,stat
17778,1.20,stat
17797,1.12,stat
17816,1.08,stat
17835,1.14,stat
17854,1.20,stat
17873,1.17,stat
17892,1.19,stat
17911,1.03,stat
17930,0.98,fall
17949,1.01,stat
17968,1.01,stat
17987,1.00,fall
18009,1.15,stat
18028,1.31,stat
18047,1.21,stat
18066,1.18,stat
18085,1.14,stat
18104,1.08,stat
18123,1.02,stat
18142,1.20,stat
18161,0.99,fall
18180,1.04,stat
18199,1.46,stat
18218,1.37,stat
18237,1.32,stat
18256,0.42,fall
18275,1.11,stat
18294,1.24,stat
18313,1.13,stat
18332,1.19,stat
18351,1.21,stat
18370,1.18,stat
18389,1.14,stat
18408,1.09,stat
18427,1.07,stat
18446,1.05,stat
18465,1.04,stat
18484,1.05,stat
18503,1.06,stat
18522,1.07,stat
18541,1.08,stat
18560,1.09,stat
18577,1.09,stat
18597,1.08,stat
18616,1.08,stat
18635,1.08,stat
18654,1.07,stat
18673,1.07,stat
18692,1.07,stat
18711,1.08,stat
18730,1.07,stat
18749,1.07,stat
18768,1.08,stat
18787,1.07,stat
18827,1.07,stat
18846,1.08,stat
18865,1.08,stat
18884,1.07,stat
18903,1.08,stat
